brand_name,domain,source,vertical,notes,contact_email,contact_name
Allbirds,allbirds.com,demo,footwear,Premium footwear brand known for sustainability,,
Gymshark,gymshark.com,demo,apparel,High-growth activewear brand,,
Glossier,glossier.com,demo,beauty,DTC beauty brand with strong community,,
Ridge Wallet,ridgewallet.com,demo,accessories,EDC accessories brand,,
Parachute Home,parachutehome.com,demo,homewares,Premium bedding and home goods,,
Outdoor Voices,outdoorvoices.com,demo,apparel,Activewear brand focused on recreation,,
Mejuri,mejuri.com,demo,accessories,DTC fine jewelry brand,,
Cuyana,cuyana.com,demo,apparel,Minimalist women's fashion brand,,
Caudalie,caudalie.com,demo,beauty,French skincare brand,,
East Fork,eastfork.com,demo,homewares,Handmade ceramics brand,,
